,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.23,29.11,28.69,29.9,31.13,33.96,38.02,38.43,40.55,32.35,38.9,47.03,48.61
Expenses,24.64,25.51,25.4,27.72,27.14,30.63,33.68,35.21,36.57,28.73,32.98,39.35,40.91
Operating Profit,1.59,3.6,3.29,2.18,3.99,3.33,4.34,3.22,3.98,3.62,5.92,7.68,7.70
OPM %,6.06,12.37,11.47,7.29,12.82,9.81,11.42,8.38,9.82,11.19,15.22,16.33,15.84
Other Income,0.36,0.64,0.39,0.46,0.58,0.68,0.91,0.68,0.21,0.84,0.88,1.15,1.25
Interest,0.05,0.05,0.04,0.1,0.16,0.15,0.18,0.21,0.24,0.14,0.21,0.2,0.07
Depreciation,4.14,3.73,3.54,4.76,4.44,3.44,3.37,3.06,2.5,2.33,2.5,2.98,3.17
Profit before tax,-2.24,0.46,0.1,-2.22,-0.03,0.42,1.7,0.63,1.45,1.99,4.09,5.65,5.71
Tax %,-0.45,8.7,60.0,10.81,400.0,-7.14,-2.35,-12.7,26.9,21.11,27.14,27.79,
Net Profit,-2.25,0.42,0.04,-1.98,0.1,0.44,1.75,0.71,1.06,1.57,2.98,4.08,4.04
EPS in Rs,-1.08,0.2,0.02,-0.95,0.05,0.21,0.84,0.34,0.51,0.75,1.43,1.96,1.94
