,2023-03-01,2023-09-01
Equity Capital,16.0,16
Reserves,,5
Borrowings,,32
Other Liabilities,,10
Total Liabilities,,64
Fixed Assets,,3
CWIP,,0
Investments,,1
Other Assets,,60
Total Assets,,64
