,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,13,93,93,185,192,192,192,192,192,192,192
Reserves,400,505,548,690,824,1219,1457,1646,1859,2076,2145,2173
Borrowings,479,620,685,1372,664,410,398,651,1024,1599,1433,1564
Other Liabilities,320,435,417,957,1535,1714,2183,2183,1705,1689,1673,1738
Total Liabilities,1212,1573,1742,3111,3208,3535,4230,4672,4779,5556,5444,5667
Fixed Assets,430,594,693,1507,1473,1492,2051,2156,2281,2407,2568,2720
CWIP,125,149,138,64,50,190,94,153,141,90,204,197
Investments,0,0,37,59,175,195,117,129,124,160,158,150
Other Assets,657,830,873,1481,1509,1657,1969,2233,2234,2900,2513,2599
Total Assets,1212,1573,1742,3111,3208,3535,4230,4672,4779,5556,5444,5667
