,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,34.07,34.07,34.07,34.07,34.07,0.0,94.14,94.14
DIIs,0.41,0.41,0.34,0.34,0.34,0.51,0.82,0.73
Public,65.52,65.52,65.59,65.59,65.59,99.49,5.06,5.15
No. of Shareholders,14445.0,16187.0,17819.0,18223.0,21038.0,20954.0,21861.0,22081.0
