,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,71.72,71.72,71.72,71.72
FIIs,1.75,0.94,0.69,0.07
DIIs,11.28,9.69,9.29,8.21
Public,15.25,17.63,18.29,20.0
No. of Shareholders,69310.0,71998.0,71592.0,70807.0
