,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,122.0,71,7,23,93
Inventory Days,8.0,69,119,10,75
Days Payable,96.0,135,77,35,44
Cash Conversion Cycle,34.0,6,49,-2,123
Working Capital Days,-188.0,-229,-217,-66,132
ROCE %,,15,30,22,13
