,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Revenue,2020.0,2368.0,2655.0,2860.0,3483.0
Interest,1183.0,1459.0,1570.0,1587.0,2088.0
Expenses,431.0,649.0,495.0,430.0,232.0
Financing Profit,406.0,259.0,590.0,843.0,1163.0
Financing Margin %,20.0,11.0,22.0,29.0,33.0
Other Income,-72.0,5.0,3.0,14.0,-0.0
Depreciation,23.0,23.0,23.0,23.0,24.0
Profit before tax,311.0,241.0,570.0,834.0,1139.0
Tax %,20.0,11.0,39.0,24.0,24.0
Net Profit,250.0,215.0,346.0,634.0,865.0
EPS in Rs,3.19,2.73,4.42,2.77,3.78
