,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,6,5,-7,9
Cash from Investing Activity,0,-5,2,-1
Cash from Financing Activity,-3,-4,3,-7
Net Cash Flow,3,-3,-2,1
