,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Public,100.0,100.0,100.0,100.0,100.0,100.0,100.01,100.0
No. of Shareholders,5693.0,5579.0,5561.0,5520.0,5500.0,5612.0,5662.0,5707.0
