,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,79.44,65.66,1.95,0.00,0.00,-0.04,-0.01,0.00,0.00,0.47,0.43,1.03,0.41
Expenses,81.2,70.33,6.48,1.03,3.04,1.25,0.57,0.61,0.41,0.76,0.94,1.48,0.86
Operating Profit,-1.76,-4.67,-4.53,-1.03,-3.04,-1.29,-0.58,-0.61,-0.41,-0.29,-0.51,-0.45,-0.45
OPM %,-2.22,-7.11,-232.31,,,,,,,-61.7,-118.6,-43.69,-109.76
Other Income,0.84,0.79,3.48,13.04,2.22,4.44,4.37,0.72,-0.36,1.98,1.03,0.3,1.32
Interest,0.42,0.27,0.02,0.01,0.01,0.03,0.00,0.01,0.00,0.0,0.0,0.0,0.00
Depreciation,1.41,1.31,0.82,0.85,0.55,0.02,0.02,0.01,0.00,0.0,0.0,0.0,0.00
Profit before tax,-2.75,-5.46,-1.89,11.15,-1.38,3.10,3.77,0.09,-0.77,1.69,0.52,-0.15,0.87
Tax %,0.0,0.0,0.0,0.00,0.00,0.00,3.45,0.00,0.00,0.0,0.0,0.0,
Net Profit,-2.74,-5.47,-1.89,11.15,-1.38,3.10,3.64,0.09,-0.77,1.69,0.52,-0.15,0.87
EPS in Rs,-2.21,-4.41,-1.52,8.99,-1.11,2.50,2.94,0.07,-2.07,4.54,0.99,-0.28,1.65
