,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9,9,9,9,9,9,9,9,14,14
Reserves,900,1036,1178,1299,1513,1700,1978,2239,2590,2805
Borrowings,39,23,0,79,65,252,207,157,237,177
Other Liabilities,279,250,226,360,465,584,422,557,939,721
Total Liabilities,1227,1319,1414,1747,2053,2545,2617,2962,3780,3717
Fixed Assets,425,446,448,445,440,500,865,875,1122,1112
CWIP,42,48,38,47,179,371,76,107,101,153
Investments,20,24,74,0,203,155,637,109,135,157
Other Assets,740,801,854,1255,1231,1518,1039,1873,2422,2296
Total Assets,1227,1319,1414,1747,2053,2545,2617,2962,3780,3717
