,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,3.15,10.5,10.5
Reserves,0.37,0.73,1.02,6.98,24.69,25.18
Borrowings,0.25,0.25,1.18,0.0,0.0,0.0
Other Liabilities,2.23,2.42,2.75,2.26,2.48,1.33
Total Liabilities,2.86,3.41,4.96,12.39,37.67,37.01
Fixed Assets,0.42,0.35,0.28,3.41,2.79,4.07
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.7000000000000001,0.7000000000000001,1.2,1.2,1.2,1.2
Other Assets,1.74,2.36,3.48,7.78,33.68,31.74
Total Assets,2.86,3.41,4.96,12.39,37.67,37.01
