,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,6.14,11.13,5.27,13.07,8.96
Expenses,5.8,11.02,4.82,12.45,7.89
Operating Profit,0.34,0.11,0.45,0.62,1.07
OPM %,5.54,0.99,8.54,4.74,11.94
Other Income,0.0,0.0,0.0,0.0,0.0
Interest,0.0,0.0,0.0,0.0,0.0
Depreciation,0.02,0.05,0.3,0.44,0.4
Profit before tax,0.32,0.06,0.15,0.18,0.67
Tax %,31.25,66.67,26.67,11.11,26.87
Net Profit,0.22,0.01,0.11,0.15,0.49
EPS in Rs,1.33,0.03,0.35,0.14,0.47
