,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,17.91,16.55,12.63,10.85,6.73,24.98,13.17,23.55,18.89,19.71,29.04,36.71,36.15
Expenses,10.55,9.99,9.38,9.4,6.84,24.5,12.06,20.32,18.47,18.19,27.48,35.01,35.69
Operating Profit,7.36,6.56,3.25,1.45,-0.11,0.48,1.11,3.23,0.42,1.52,1.56,1.7,0.46
OPM %,41.09,39.64,25.73,13.36,-1.63,1.92,8.43,13.72,2.22,7.71,5.37,4.63,1.27
Other Income,0.0,0.03,0.0,0.05,0.65,-0.05,0.0,0.01,0.0,-0.09,0.22,0.58,0.58
Interest,0.96,0.2,0.21,0.3,0.43,0.43,0.36,0.27,0.32,0.57,0.78,1.06,1.03
Depreciation,0.63,0.69,0.72,1.04,0.46,0.46,0.61,0.61,0.6,0.75,0.76,0.79,0.79
Profit before tax,5.77,5.7,2.32,0.16,-0.35,-0.46,0.14,2.36,-0.5,0.11,0.24,0.43,-0.78
Tax %,3.99,32.98,33.62,43.75,-2.86,0.0,0.0,28.81,38.0,318.18,45.83,25.58,
Net Profit,5.55,3.81,1.53,0.09,-0.35,-0.47,0.14,1.69,-0.3,-0.23,0.12,0.32,-0.81
EPS in Rs,5.19,3.56,1.43,0.08,-0.33,-0.44,0.13,1.58,-0.28,-0.22,0.11,0.3,-0.76
