,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.46,10.46,10.46,10.68,10.68,10.68,10.68,10.68,10.7,10.7,10.7,10.7,10.7
Reserves,10.58,14.4,15.93,16.02,15.67,15.1,15.23,16.92,16.62,16.39,16.51,16.83,16.36
Borrowings,1.48,1.55,1.47,2.8200000000000003,3.46,3.42,2.61,1.53,4.67,10.05,13.15,16.1,18.1
Other Liabilities,8.54,9.97,7.39,6.91,5.98,5.67,7.25,8.88,6.77,3.25,4.11,3.16,5.07
Total Liabilities,31.06,36.38,35.25,36.43,35.79,34.87,35.77,38.01,38.76,40.39,44.47,46.79,50.23
Fixed Assets,8.28,8.73,9.14,8.49,8.05,25.23,24.76,27.12,27.02,28.45,28.58,29.53,29.26
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0
Investments,4.59,4.55,4.55,5.8100000000000005,5.5600000000000005,5.49,5.49,5.49,5.49,5.49,5.49,5.49,0.0
Other Assets,18.19,23.1,21.56,22.13,22.18,4.15,5.52,5.4,6.25,6.45,10.31,11.77,20.97
Total Assets,31.06,36.38,35.25,36.43,35.79,34.87,35.77,38.01,38.76,40.39,44.47,46.79,50.23
