,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,30.57,29.99,29.99,29.99,29.99,29.99,29.99,29.99
FIIs,0.44,0.0,0.0,0.0,0.0,0.0,10.35,11.36
DIIs,0.82,3.08,3.76,12.23,17.38,24.69,24.97,27.41
Public,68.17,66.93,66.25,57.79,52.63,45.32,34.68,31.23
No. of Shareholders,41012.0,77033.0,88692.0,72201.0,68590.0,95547.0,103827.0,94582.0
