,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.14,2.14,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45
Reserves,37.75,38.43,34.54,37.76,39.7,42.46,93.41,101.91,103.98,106.13
Borrowings,9.81,17.49,59.09,63.89,69.68,73.59,62.02,54.17,81.49,90.6
Other Liabilities,54.0,70.63,74.09,82.19,96.28,74.15,73.12,46.87,80.76,86.29
Total Liabilities,103.7,128.69,185.17,201.29,223.11,207.65,246.0,220.4,283.68,300.47
Fixed Assets,0.65,0.55,11.64,23.39,25.03,31.81,76.53,74.75,74.5,73.31
CWIP,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,11.19,11.47,0.44,0.4,0.4,0.52,3.31,8.93,8.75,8.55
Other Assets,91.86,116.23,173.09,177.5,197.68,175.32,166.16,136.72,200.43,218.61
Total Assets,103.7,128.69,185.17,201.29,223.11,207.65,246.0,220.4,283.68,300.47
