,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.99,6.53,2.9,6.01,10.06,34.8,36.1,60.25,22.51,27.18
Expenses,5.74,3.62,1.21,2.73,8.27,27.57,26.91,52.55,17.96,21.53
Operating Profit,4.25,2.91,1.69,3.28,1.79,7.23,9.19,7.7,4.55,5.65
OPM %,42.54,44.56,58.28,54.58,17.79,20.78,25.46,12.78,20.21,20.79
Other Income,2.18,1.38,1.33,3.35,3.94,0.66,0.6,0.37,0.81,2.63
Interest,0.62,0.78,1.09,1.91,2.14,2.92,3.65,1.38,0.79,2.94
Depreciation,0.3,0.26,0.32,0.58,1.14,1.19,1.19,1.83,1.86,1.87
Profit before tax,5.51,3.25,1.61,4.14,2.45,3.78,4.95,4.86,2.71,3.47
Tax %,8.53,18.77,23.6,21.98,20.82,26.98,24.04,24.9,25.83,
Net Profit,5.04,2.64,1.23,3.23,1.95,2.76,3.76,3.64,2.01,2.74
EPS in Rs,23.6,12.36,0.71,1.85,1.12,1.58,2.16,2.09,1.15,1.58
