,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,24.0,18.0,30.0,27.0,24.0,18.0,46.0,42.0,33.0,25
Expenses,2.0,6.0,3.0,9.0,9.0,14.0,5.0,8.0,8.0,29
Operating Profit,21.0,12.0,27.0,18.0,15.0,4.0,40.0,34.0,25.0,-4
OPM %,90.0,69.0,90.0,68.0,61.0,25.0,88.0,81.0,76.0,-16
Other Income,0.0,0.0,0.0,0.0,17.0,0.0,45.0,273.0,69.0,29
Interest,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Profit before tax,22.0,12.0,27.0,18.0,31.0,4.0,84.0,306.0,93.0,23
Tax %,19.0,16.0,18.0,-6.0,19.0,-3.0,27.0,26.0,-14.0,
Net Profit,19.0,40.0,63.0,19.0,25.0,4.0,61.0,226.0,107.0,24
EPS in Rs,11.23,23.87,37.58,11.21,14.92,2.21,36.41,135.23,63.73,14.13
