,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,8,8,8,8,8,8,8
Reserves,577,613,675,994,997,783,1035,1551,1520,1540
Borrowings,0,15,15,24,5,4,6,2,0,1
Other Liabilities,9,7,8,71,74,72,106,173,152,159
Total Liabilities,593,643,707,1098,1085,867,1156,1733,1681,1708
Fixed Assets,8,7,17,20,38,41,56,55,54,54
CWIP,24,25,18,0,11,16,0,1,0,0
Investments,542,589,634,1035,1000,739,1014,1652,1617,1645
Other Assets,20,22,37,43,37,72,86,26,9,9
Total Assets,593,643,707,1098,1085,867,1156,1733,1681,1708
