,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,50.72,50.72,50.72,50.72,50.72,50.72,50.72,51.97,53.39,53.39,53.39
Reserves,103.01,101.64,102.7,103.79,102.92,102.93,104.05,110.79,117.03,118.55,119.97
Borrowings,1.37,9.76,7.67,6.8,5.95,5.83,5.67,4.9,5.88,6.62,5.65
Other Liabilities,11.88,28.49,19.36,48.9,140.04,197.91,325.75,361.66,388.49,106.73,109.14
Total Liabilities,166.98,190.61,180.45,210.21,299.63,357.39,486.19,529.32,564.79,285.29,288.15
Fixed Assets,123.24,137.84,138.54,49.77,49.22,137.54,137.25,138.07,137.89,138.76,138.73
CWIP,0.0,0.0,0.0,88.4,88.4,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.7000000000000001
Other Assets,43.74,52.12,41.16,71.39,161.36,219.2,348.29,390.6,426.25,145.88,148.72
Total Assets,166.98,190.61,180.45,210.21,299.63,357.39,486.19,529.32,564.79,285.29,288.15
