,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,114.38,120.8,127.92,128.32,133.25,136.38,163.56,148.46,72.97,39.58,40.91
Expenses,113.11,120.27,125.22,126.33,133.86,136.85,162.42,148.65,72.47,38.21,39.41
Operating Profit,1.27,0.53,2.7,1.99,-0.61,-0.47,1.14,-0.19,0.5,1.37,1.50
OPM %,1.11,0.44,2.11,1.55,-0.46,-0.34,0.7,-0.13,0.69,3.46,3.67
Other Income,0.03,0.14,0.66,1.16,1.68,2.17,1.8,3.36,1.57,1.83,1.87
Interest,0.09,1.18,1.09,0.96,0.81,0.68,0.79,0.64,0.74,0.91,0.76
Depreciation,0.01,0.99,0.71,0.63,0.55,0.47,0.4,0.35,0.34,0.31,0.48
Profit before tax,1.2,-1.5,1.56,1.56,-0.29,0.55,1.75,2.18,0.99,1.98,2.13
Tax %,33.33,-2.0,32.69,33.97,-200.0,100.0,36.0,20.18,22.22,22.73,
Net Profit,0.84,-1.51,1.06,1.04,-0.87,0.01,1.12,1.73,0.77,1.53,2.14
EPS in Rs,0.02,-0.02,0.02,0.02,-0.02,0.0,0.02,0.03,0.01,0.03,0.04
