,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,24.34,29.79,35.41,17.17,39.5,28.69,38.83,19.65,23.14,26.45,14.94,49.74,11.4
Expenses,24.32,29.08,30.63,16.74,38.86,29.09,38.85,18.98,22.2,26.52,13.6,47.82,10.14
Operating Profit,0.02,0.71,4.78,0.43,0.64,-0.4,-0.02,0.67,0.94,-0.07,1.34,1.92,1.26
OPM %,0.08,2.38,13.5,2.5,1.62,-1.39,-0.05,3.41,4.06,-0.26,8.97,3.86,11.05
Other Income,0.03,0.05,0.07,0.06,0.07,0.07,0.08,0.08,0.1,0.15,0.11,0.08,0.13
Interest,1.33,1.12,-0.05,0.61,0.65,0.78,0.82,0.89,1.03,1.19,0.87,1.45,1.02
Depreciation,0.12,0.12,0.17,0.13,0.13,0.13,0.13,0.11,0.11,0.11,0.1,0.1,0.07
Profit before tax,-1.4,-0.48,4.73,-0.25,-0.07,-1.24,-0.89,-0.25,-0.1,-1.22,0.48,0.45,0.3
Tax %,0.0,0.0,19.03,0.0,14.29,0.81,60.67,0.0,0.0,0.0,-12.5,53.33,0.0
Net Profit,-1.4,-0.48,3.84,-0.25,-0.07,-1.24,-0.35,-0.25,-0.1,-1.22,0.53,0.21,0.29
EPS in Rs,-2.0,-0.69,5.5,-0.36,-0.09,-1.59,-0.45,-0.32,-0.13,-1.35,0.59,0.23,0.32
