,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.42,0.38,1.37,17.22,26.11
Expenses,0.15,0.43,0.74,13.39,21.34
Operating Profit,0.27,-0.05,0.63,3.83,4.77
OPM %,64.29,-13.16,45.99,22.24,18.27
Other Income,1.05,0.81,1.56,2.04,1.79
Interest,0.01,0.0,0.18,0.86,0.89
Depreciation,0.11,0.08,0.65,0.68,0.94
Profit before tax,1.2,0.68,1.36,4.33,4.73
Tax %,27.5,14.71,11.76,30.48,
Net Profit,0.85,0.58,1.2,3.03,3.24
EPS in Rs,13.51,6.24,12.92,1.85,1.69
