,2022-09-01,2023-03-01,2023-09-01
Sales,9.9,7.32,18.79
Expenses,6.84,6.57,14.77
Operating Profit,3.06,0.75,4.02
OPM %,30.91,10.25,21.39
Other Income,0.99,1.06,0.73
Interest,0.3,0.55,0.34
Depreciation,0.31,0.38,0.56
Profit before tax,3.44,0.88,3.85
Tax %,32.56,22.73,34.81
Net Profit,2.32,0.71,2.53
EPS in Rs,1.3,0.55,1.14
