,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,836.0,1039.0,1172.0,1374.0,1262.0,1351.0,1745.0,2090.0,2260
Expenses,694.0,876.0,936.0,1105.0,1057.0,1104.0,1441.0,1739.0,1877
Operating Profit,142.0,164.0,236.0,269.0,205.0,247.0,304.0,351.0,383
OPM %,17.0,16.0,20.0,20.0,16.0,18.0,17.0,17.0,17
Other Income,12.0,6.0,13.0,17.0,18.0,17.0,17.0,19.0,12
Interest,29.0,30.0,40.0,46.0,51.0,43.0,46.0,53.0,59
Depreciation,31.0,44.0,54.0,62.0,81.0,88.0,103.0,114.0,121
Profit before tax,94.0,96.0,155.0,178.0,90.0,132.0,172.0,203.0,215
Tax %,24.0,33.0,34.0,37.0,9.0,26.0,25.0,26.0,
Net Profit,72.0,64.0,103.0,112.0,82.0,98.0,128.0,150.0,159
EPS in Rs,11091.19,9845.44,15902.63,23.9,17.51,20.85,24.57,28.38,29.98
