,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,9,9,9,10,11,11.0
Reserves,431,485,589,692,771,878,1023,1172,1252.0
Preference Capital,10,10,10,10,10,0,0,0,
Borrowings,290,362,498,547,597,503,603,655,631.0
Other Liabilities,130,195,237,340,317,339,376,406,471.0
Total Liabilities,851,1043,1324,1589,1695,1730,2012,2243,2365.0
Fixed Assets,367,550,608,827,898,954,1060,1210,1254.0
CWIP,32,32,91,48,67,54,108,65,86.0
Investments,21,21,82,109,116,100,99,99,111.0
Other Assets,431,440,543,604,614,621,745,870,914.0
Total Assets,851,1043,1324,1589,1695,1730,2012,2243,2365.0
