,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,32,32,32,32,32,32,32,32,32,32,32,32,32
Reserves,236,245,238,223,186,163,144,106,173,163,790,717,715
Borrowings,6,3,0,5,19,21,12,2,8,12,2,9,9
Other Liabilities,44,35,39,22,20,35,48,91,103,85,454,446,435
Total Liabilities,317,315,309,281,256,251,235,230,316,293,1278,1204,1190
Fixed Assets,19,94,117,137,126,125,117,116,114,110,93,107,106
CWIP,6,8,0,3,0,0,1,1,0,0,0,1,0
Investments,44,64,41,22,10,17,46,36,56,43,666,513,520
Other Assets,249,148,151,119,120,110,71,77,146,139,518,583,564
Total Assets,317,315,309,281,256,251,235,230,316,293,1278,1204,1190
