,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,294.0,214.0,265.0,193.0,140.0,137.0,128.0,150.0,95.0,79.0,73.0,105.0,63.0
Expenses,188.0,167.0,1365.0,139.0,120.0,138.0,1181.0,165.0,110.0,84.0,166.0,147.0,104.0
Operating Profit,105.0,47.0,-1101.0,54.0,20.0,-2.0,-1053.0,-15.0,-15.0,-5.0,-93.0,-42.0,-40.0
OPM %,36.0,22.0,-416.0,28.0,14.0,-1.0,-820.0,-10.0,-16.0,-7.0,-128.0,-40.0,-63.0
Other Income,21.0,2.0,109.0,11.0,48.0,2.0,8.0,92.0,103.0,11.0,18.0,14.0,12.0
Interest,280.0,276.0,266.0,273.0,277.0,279.0,269.0,277.0,270.0,275.0,287.0,276.0,265.0
Depreciation,49.0,48.0,47.0,37.0,38.0,36.0,34.0,12.0,12.0,12.0,11.0,21.0,23.0
Profit before tax,-204.0,-275.0,-1305.0,-245.0,-247.0,-315.0,-1347.0,-212.0,-194.0,-282.0,-373.0,-325.0,-316.0
Tax %,5.0,-2.0,2.0,-4.0,-1.0,-4.0,0.0,-1.0,-7.0,-2.0,-2.0,-2.0,-0.0
Net Profit,-194.0,-282.0,-1283.0,-256.0,-248.0,-327.0,-1345.0,-213.0,-208.0,-287.0,-381.0,-333.0,-318.0
EPS in Rs,-33.21,-48.23,-219.85,-43.93,-42.5,-56.06,-230.51,-36.47,-35.56,-49.24,-65.21,-57.1,-54.43
