,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9,9,9,12,12,12,12,12,12,12,12,12,12.0
Reserves,2572,2994,3837,5403,3682,2624,7,-5320,-15332,-16834,-19524,-22308,-23080.0
Preference Capital,281,281,281,281,0,0,0,0,0,0,0,0,
Borrowings,13513,13647,14561,14060,14716,14005,13740,14351,15688,15185,15249,15135,15223.0
Other Liabilities,1274,1539,1640,1499,1820,2087,3179,4615,5643,6257,7232,8902,9437.0
Total Liabilities,17368,18189,20047,20973,20229,18728,16938,13657,6011,4619,2968,1740,1591.0
Fixed Assets,15697,16409,17866,18363,17197,16203,14369,11262,4052,3191,704,693,679.0
CWIP,25,20,0,19,0,9,0,6,0,0,0,0,0.0
Investments,3,6,8,13,16,27,27,26,23,23,23,23,23.0
Other Assets,1643,1753,2173,2578,3016,2488,2542,2363,1935,1405,2241,1024,889.0
Total Assets,17368,18189,20047,20973,20229,18728,16938,13657,6011,4619,2968,1740,1591.0
