,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,41,41,41,41,41,41,41,41
Reserves,428,507,577,605,655,607,626,646
Borrowings,40,32,31,357,293,363,353,285
Other Liabilities,397,538,619,662,903,1019,1086,1229
Total Liabilities,907,1118,1268,1665,1891,2030,2107,2200
Fixed Assets,329,339,358,625,654,698,695,688
CWIP,14,7,24,10,21,15,21,11
Investments,54,93,27,153,260,229,186,234
Other Assets,509,679,859,877,956,1088,1205,1268
Total Assets,907,1118,1268,1665,1891,2030,2107,2200
