,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,85,124,45,184,292,51,106
Cash from Investing Activity,-95,-92,-33,-374,-187,-27,-6
Cash from Financing Activity,9,-13,-5,223,-112,-51,-94
Net Cash Flow,-2,20,6,33,-7,-28,6
