,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1758.0,2220.0,2657.0,2637.0,2801.0,3415.0,4195.0,4196
Expenses,1657.0,2060.0,2529.0,2514.0,2588.0,3367.0,4035.0,4047
Operating Profit,102.0,160.0,128.0,123.0,213.0,49.0,160.0,149
OPM %,6.0,7.0,5.0,5.0,8.0,1.0,4.0,4
Other Income,13.0,16.0,32.0,14.0,22.0,28.0,27.0,27
Interest,6.0,7.0,8.0,18.0,34.0,35.0,33.0,29
Depreciation,44.0,54.0,58.0,92.0,102.0,115.0,122.0,124
Profit before tax,65.0,115.0,94.0,27.0,99.0,-74.0,32.0,23
Tax %,20.0,31.0,24.0,4.0,35.0,35.0,54.0,
Net Profit,52.0,79.0,71.0,26.0,64.0,-48.0,15.0,10
EPS in Rs,13.15,19.98,18.0,6.76,15.82,-11.89,3.69,2.43
