,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,27.0,54.0,139.0,106.0,106.0,88.0,10.0,11.0,9.0,13.0,13.0,12.0,9.0
Expenses,41.0,67.0,124.0,102.0,115.0,93.0,8.0,10.0,9.0,11.0,12.0,11.0,9.0
Operating Profit,-14.0,-13.0,16.0,4.0,-9.0,-4.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0
OPM %,-51.0,-24.0,11.0,3.0,-9.0,-5.0,13.0,7.0,1.0,14.0,12.0,8.0,2.0
Other Income,0.0,0.0,2.0,0.0,0.0,0.0,-8.0,-2.0,-9.0,-8.0,-101.0,-2.0,-2.0
Interest,9.0,9.0,9.0,10.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
Depreciation,6.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0
Profit before tax,-29.0,-29.0,2.0,-14.0,-27.0,-21.0,-8.0,-2.0,-9.0,-7.0,-100.0,-11.0,-13.0
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-29.0,-29.0,2.0,-14.0,-27.0,-21.0,-8.0,-2.0,-9.0,-7.0,-100.0,-11.0,-13.0
EPS in Rs,-1.96,-1.95,0.11,-0.93,-1.83,-1.45,-0.51,-0.13,-0.6,-0.46,-6.81,-0.72,-0.85
