,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,888.0,998.0,1080.0,1143.0,1604.0,2273.0,3195.0
Expenses,377.0,410.0,550.0,524.0,787.0,1164.0,1572.0
Operating Profit,511.0,588.0,530.0,619.0,816.0,1109.0,1623.0
OPM %,58.0,59.0,49.0,54.0,51.0,49.0,51.0
Other Income,57.0,77.0,101.0,94.0,75.0,106.0,176.0
Interest,90.0,130.0,177.0,277.0,228.0,420.0,596.0
Depreciation,82.0,157.0,171.0,202.0,271.0,370.0,391.0
Profit before tax,396.0,377.0,284.0,234.0,393.0,426.0,811.0
Tax %,22.0,26.0,4.0,16.0,28.0,22.0,8.0
Net Profit,310.0,281.0,272.0,197.0,285.0,330.0,750.0
EPS in Rs,54.6,44.09,43.93,31.37,48.0,54.02,3.97
