,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,56,60,60,60,60,60,360,407
Reserves,1798,2553,2827,2488,2831,3212,3635,6894
Borrowings,1599,1732,2051,3109,3946,4740,4568,4580
Other Liabilities,628,840,762,1089,1286,1165,750,714
Total Liabilities,4082,5185,5701,6747,8123,9177,9312,12594
Fixed Assets,2730,3186,3256,3948,4924,6134,5975,5835
CWIP,380,633,862,752,1125,80,46,46
Investments,95,28,230,376,296,283,307,548
Other Assets,877,1338,1352,1671,1779,2681,2985,6166
Total Assets,4082,5185,5701,6747,8123,9177,9312,12594
