,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.35,-0.00,1.03,1.15,0.83,0.33,-0.00,0.12,0.18,0.07,2.62,2.12,3.48
Expenses,1.00,0.77,0.63,0.1,0.14,0.57,0.10,0.14,0.16,0.08,3.48,1.08,1.13
Operating Profit,1.35,-0.77,0.40,1.05,0.69,-0.24,-0.10,-0.02,0.02,-0.01,-0.86,1.04,2.35
OPM %,57.45,,38.83,91.3,83.13,-72.73,,-16.67,11.11,-14.29,-32.82,49.06,67.53
Other Income,-0.00,1.45,-0.00,-0.0,-0.82,-0.0,0.02,-0.0,-8.72,-3.61,0.01,-11.57,0.25
Interest,-0.00,-0.00,-0.00,-0.0,-0.0,0.13,0.14,0.16,0.19,0.2,0.21,0.23,0.24
Depreciation,-0.00,-0.00,-0.00,-0.0,-0.0,-0.0,-0.00,-0.0,0.09,0.07,-0.0,0.7,1.04
Profit before tax,1.35,0.68,0.40,1.05,-0.13,-0.37,-0.22,-0.18,-8.98,-3.89,-1.06,-11.46,1.32
Tax %,37.04,22.06,30.00,20.95,-153.85,-5.41,36.36,-0.0,-0.0,-0.0,-0.0,-1.83,
Net Profit,0.85,0.53,0.28,0.83,-0.33,-0.39,-0.14,-0.18,-8.98,-3.89,-1.06,-11.67,0.85
EPS in Rs,,,,0.75,-0.3,-0.35,-0.13,-0.16,-8.16,-3.54,-0.96,-10.61,0.76
