,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,35.79,44.97,46.54,41.24
Expenses,31.3,38.09,41.24,35.79
Operating Profit,4.49,6.88,5.3,5.45
OPM %,12.55,15.3,11.39,13.22
Other Income,0.35,0.22,0.22,0.45
Interest,1.6,1.48,1.41,0.21
Depreciation,0.09,0.05,0.06,0.06
Profit before tax,3.15,5.57,4.05,5.63
Tax %,26.67,25.49,27.16,25.4
Net Profit,2.3,4.16,2.95,4.2
EPS in Rs,2.27,4.11,2.12,3.02
