,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,70.52,24.04,50.46,91.5,87.78
Expenses,64.3,19.32,43.91,79.32,77.03
Operating Profit,6.22,4.72,6.55,12.18,10.75
OPM %,8.82,19.63,12.98,13.31,12.25
Other Income,0.97,0.91,0.39,0.44,0.67
Interest,4.73,3.98,3.19,2.89,1.62
Depreciation,0.21,0.2,0.18,0.12,0.12
Profit before tax,2.25,1.45,3.57,9.61,9.68
Tax %,23.56,26.9,27.45,26.12,
Net Profit,1.71,1.06,2.59,7.1,7.15
EPS in Rs,3.38,2.09,2.56,5.1,5.14
