,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99
Reserves,111.87,112.34,116.63,114.12,108.79,102.55,103.98,103.25,104.79,106.74,107.18,111.04
Borrowings,0.0,0.0,3.85,3.75,3.5700000000000003,3.34,3.06,2.04,1.15,0.35,0.0,0.0
Other Liabilities,9.57,10.11,13.04,9.88,5.66,4.54,3.28,2.61,2.42,2.5,7.25,3.15
Total Liabilities,124.43,125.44,136.51,130.74,121.01,113.42,113.31,110.89,111.35,112.58,117.42,117.18
Fixed Assets,1.77,2.06,1.59,1.38,1.27,1.62,1.48,1.39,1.77,1.59,1.09,1.02
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
Investments,7.17,5.8,0.63,0.08,0.8300000000000001,1.08,9.54,32.27,30.38,25.45,23.2,19.63
Other Assets,115.49,117.58,134.29,129.28,118.91,110.72,102.29,77.23,79.2,85.43,93.13,96.53
Total Assets,124.43,125.44,136.51,130.74,121.01,113.42,113.31,110.89,111.35,112.58,117.42,117.18
