,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,266,285,285,285,293,294,294,294,294,294,294
Reserves,3723,4227,4979,6108,7128,8452,7495,7568,7010,8260,8584
Borrowings,8500,9070,11054,13168,15791,19168,22417,24077,24145,31161,34392
Other Liabilities,5035,6011,5806,7048,10171,11212,7924,10119,12125,14965,14841
Total Liabilities,17524,19592,22123,26609,33383,39126,38130,42058,43574,54679,58110
Fixed Assets,7573,6529,5890,6591,6596,6695,8031,8484,7895,8129,8148
CWIP,297,216,87,244,439,678,574,336,240,268,251
Investments,1165,1499,1031,1933,4383,1492,960,1096,2652,4852,3170
Other Assets,8491,11348,15115,17841,21965,30261,28565,32143,32787,41430,46541
Total Assets,17524,19592,22123,26609,33383,39126,38130,42058,43574,54679,58110
