,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,342.0,508.0,804.0,682.0,576.0,498.0,223.0,173.0,174
Expenses,355.0,555.0,814.0,596.0,529.0,511.0,199.0,172.0,174
Operating Profit,-13.0,-47.0,-10.0,85.0,48.0,-14.0,24.0,1.0,-0
OPM %,-4.0,-9.0,-1.0,13.0,8.0,-3.0,11.0,0.0,-0
Other Income,134.0,111.0,76.0,62.0,50.0,59.0,14.0,-51.0,-35
Interest,33.0,50.0,62.0,40.0,31.0,26.0,8.0,8.0,8
Depreciation,28.0,35.0,34.0,35.0,37.0,37.0,13.0,12.0,11
Profit before tax,59.0,-21.0,-30.0,73.0,30.0,-18.0,18.0,-70.0,-55
Tax %,26.0,-120.0,129.0,8.0,20.0,-242.0,88.0,-22.0,
Net Profit,44.0,-45.0,9.0,67.0,24.0,-62.0,2.0,-85.0,-73
EPS in Rs,56.27,-59.96,26.57,68.28,46.12,-65.61,3.11,-119.09,-63.44
