,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,7,7,7,7,7,7,7,7.0
Reserves,1360,1316,1382,1429,1417,1446,1497,1425,1494.0
Preference Capital,0,0,5,0,0,0,0,0,
Borrowings,445,682,469,353,271,229,155,81,112.0
Other Liabilities,263,367,284,290,295,259,178,179,171.0
Total Liabilities,2075,2373,2143,2078,1991,1941,1838,1692,1785.0
Fixed Assets,783,769,744,723,748,770,738,392,392.0
CWIP,2,2,16,57,66,0,0,0,0.0
Investments,917,969,470,352,158,175,198,209,264.0
Other Assets,373,633,912,946,1020,995,902,1091,1129.0
Total Assets,2075,2373,2143,2078,1991,1941,1838,1692,1785.0
