,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,12.73,19.57,28.78,32.73,42.47,26.7,41.99
Expenses,11.50,18.94,28.02,32.03,40.19,26.31,40.87
Operating Profit,1.23,0.63,0.76,0.7,2.28,0.39,1.12
OPM %,9.66,3.22,2.64,2.14,5.37,1.46,2.67
Other Income,0.14,0.0,0.08,0.45,1.79,0.28,0.42
Interest,0.00,0.0,0.01,0.01,0.21,0.12,0.11
Depreciation,0.03,0.05,0.05,0.13,0.15,0.39,0.34
Profit before tax,1.34,0.58,0.78,1.01,3.71,0.16,1.09
Tax %,26.12,44.83,29.49,31.68,28.3,43.75,25.69
Net Profit,0.99,0.32,0.55,0.69,2.65,0.09,0.81
EPS in Rs,,0.74,1.28,1.11,4.27,0.15,1.32
