,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,1.08,1.54,6.16,6.16
Reserves,0.5,1.44,2.83,3.08,7.71,5.71,
Borrowings,0.14,0.11,0.07,0.05,0.19,2.5700000000000003,
Other Liabilities,3.12,6.23,6.18,11.37,25.79,18.75,
Total Liabilities,3.77,7.79,9.09,15.58,35.23,33.19,
Fixed Assets,0.23,0.14,0.11,0.12,0.4,5.46,
CWIP,0.0,0.0,0.0,0.0,0.0,0.3,
Investments,0.0,0.0,0.0,0.0,0.0,0.0,
Other Assets,3.54,7.65,8.98,15.46,34.83,27.43,
Total Assets,3.77,7.79,9.09,15.58,35.23,33.19,
