,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.64,20.02,29.50,32.23,61.45,69.16,68.69
Expenses,6.88,18.51,27.64,30.28,59.9,66.39,67.18
Operating Profit,0.76,1.51,1.86,1.95,1.55,2.77,1.51
OPM %,9.95,7.54,6.31,6.05,2.52,4.01,2.20
Other Income,-0.04,-0.05,0.22,0.11,0.53,2.08,0.70
Interest,0.02,0.05,0.07,0.06,0.11,0.44,0.23
Depreciation,0.09,0.09,0.10,0.08,0.17,0.54,0.73
Profit before tax,0.61,1.32,1.91,1.92,1.8,3.87,1.25
Tax %,29.51,29.55,27.23,31.77,30.56,28.94,
Net Profit,0.44,0.93,1.39,1.3,1.24,2.75,0.90
EPS in Rs,,,,3.02,2.0,4.47,1.47
