,2022-03-01,2023-03-01
Sales,54.01,46.70
Expenses,48.06,38.66
Operating Profit,5.95,8.04
OPM %,11.02,17.22
Other Income,0.33,1.13
Interest,0.10,0.08
Depreciation,0.54,0.66
Profit before tax,5.64,8.43
Tax %,25.00,25.15
Net Profit,4.23,6.31
EPS in Rs,,
