,2023-09-01
Depreciation,0.37
EPS in Rs,3.9
Expenses,17.6
Interest,0.03
Net Profit,3.11
OPM %,19.04
Operating Profit,4.14
Other Income,0.39
Profit before tax,4.13
Sales,21.74
Tax %,24.7
