,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,55.23,56.89,56.89,56.89,56.89,56.89,56.96,56.96
DIIs,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2
Public,44.58,42.91,42.91,42.92,42.92,42.92,42.83,42.84
No. of Shareholders,17544.0,17078.0,16805.0,16632.0,16636.0,17322.0,17133.0,17122.0
