,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,81.6,118.81,120.71,94.56,66.71,63.97,67.76,75.09,60.09,53.77,75.82,69.66,72.32
Expenses,81.0,117.24,118.23,94.85,66.16,60.49,64.97,73.01,59.18,51.12,68.94,60.28,63.02
Operating Profit,0.6,1.57,2.48,-0.29,0.55,3.48,2.79,2.08,0.91,2.65,6.88,9.38,9.30
OPM %,0.74,1.32,2.05,-0.31,0.82,5.44,4.12,2.77,1.51,4.93,9.07,13.47,12.86
Other Income,0.0,0.29,0.86,4.26,3.18,0.93,1.66,1.98,2.17,1.81,1.79,2.23,1.72
Interest,0.0,0.94,2.68,3.37,3.37,3.1,2.85,2.66,2.56,2.63,2.49,2.26,1.86
Depreciation,0.0,0.03,0.04,0.45,0.37,0.28,0.25,0.27,0.44,0.43,0.46,0.5,0.51
Profit before tax,0.6,0.89,0.62,0.15,-0.01,1.03,1.35,1.13,0.08,1.4,5.72,8.85,8.65
Tax %,36.67,32.58,50.0,-6.67,-300.0,32.04,40.74,37.17,62.5,25.71,29.72,25.31,
Net Profit,0.38,0.6,0.3,0.16,-0.03,0.71,0.8,0.71,0.03,1.05,4.02,6.6,6.39
EPS in Rs,19.0,7.5,3.75,2.0,-0.38,1.48,0.76,0.68,0.03,1.0,3.81,6.26,6.04
