,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8.95,8.95,8.95,8.95,8.95,8.95
Reserves,119.61,121.43,122.48,119.71,117.47,116.5
Borrowings,19.09,22.56,11.36,8.29,9.61,12.04
Other Liabilities,17.32,15.54,10.28,7.38,5.4,4.5600000000000005
Total Liabilities,164.97,168.48,153.07,144.33,141.43,142.05
Fixed Assets,42.38,37.91,33.53,30.25,30.3,29.25
CWIP,0.87,5.94,3.16,2.93,2.8200000000000003,2.81
Investments,2.24,10.82,9.1,3.52,0.52,0.02
Other Assets,119.48,113.81,107.28,107.63,107.79,109.97
Total Assets,164.97,168.48,153.07,144.33,141.43,142.05
