,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,76.96,60.31,62.02,53.36,47.23,42.61
Expenses,69.78,57.93,59.05,51.27,46.75,42.88
Operating Profit,7.18,2.38,2.97,2.09,0.48,-0.27
OPM %,9.33,3.95,4.79,3.92,1.02,-0.63
Other Income,4.89,6.72,3.4,4.15,4.21,3.71
Interest,1.3,1.25,0.88,0.84,0.98,1.31
Depreciation,4.76,4.89,4.62,4.86,4.72,3.70
Profit before tax,6.01,2.96,0.87,0.54,-1.01,-1.57
Tax %,23.29,32.09,28.74,14.81,28.71,
Net Profit,4.61,2.0,-0.43,-5.11,-3.84,-2.03
EPS in Rs,5.15,2.24,-0.48,-5.71,-4.29,-2.27
