,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,31.0,35.0,327.0,302.0,522.0,644.0,764
Expenses,31.0,35.0,325.0,297.0,510.0,626.0,736
Operating Profit,0.0,0.0,2.0,6.0,12.0,18.0,29
OPM %,0.0,0.0,1.0,2.0,2.0,3.0,4
Other Income,0.0,0.0,1.0,0.0,10.0,5.0,1
Interest,0.0,0.0,1.0,2.0,2.0,3.0,8
Depreciation,0.0,0.0,0.0,0.0,1.0,5.0,6
Profit before tax,0.0,0.0,2.0,4.0,19.0,15.0,16
Tax %,50.0,29.0,26.0,26.0,33.0,-3.0,
Net Profit,0.0,0.0,1.0,3.0,12.0,16.0,17
EPS in Rs,5.13,70.99,425.93,833.33,6.88,6.43,6.98
