,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.82,4.07,6.16,10.8,13.98,17.28,29.18,15.34,24.91,25.03,9.11,19.27,28.36
Expenses,0.48,2.88,4.99,8.99,11.1,13.63,22.89,9.09,17.05,15.3,3.43,13.15,22.13
Operating Profit,0.34,1.19,1.17,1.81,2.88,3.65,6.29,6.25,7.86,9.73,5.68,6.12,6.23
OPM %,41.46,29.24,18.99,16.76,20.6,21.12,21.56,40.74,31.55,38.87,62.35,31.76,21.97
Other Income,0.01,0.02,0.0,0.0,0.0,0.0,0.14,0.17,0.01,0.09,0.04,0.22,0.20
Interest,0.01,0.02,0.2,0.39,0.51,0.81,0.9,0.84,0.87,0.75,1.41,2.19,2.15
Depreciation,0.06,0.71,0.44,0.55,1.2,1.26,2.14,3.64,1.47,1.91,4.18,3.65,3.43
Profit before tax,0.28,0.48,0.53,0.87,1.17,1.58,3.39,1.94,5.53,7.16,0.13,0.5,0.85
Tax %,21.43,35.42,3.77,3.45,47.01,34.81,31.56,43.81,24.59,20.81,100.0,-4.0,
Net Profit,0.22,0.3,0.5,0.85,0.62,1.02,2.32,1.09,4.17,5.67,0.01,0.52,0.69
EPS in Rs,22.0,3.33,1.79,3.04,1.77,0.4,0.67,0.32,1.21,1.65,0.0,0.15,0.20
