,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1,19,-32,-35,-9,143,296,238,51,22,259
Cash from Investing Activity,-296,-46,38,-215,-333,-1031,-365,-157,168,196,44
Cash from Financing Activity,299,52,-30,264,353,881,86,-86,-199,-233,-213
Net Cash Flow,4,25,-24,14,11,-7,17,-5,20,-15,90
