,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,55,84,84,84,84,84,84,84
Reserves,14,0,-4,-77,386,979,928,917,802,425,218,150
Borrowings,298,462,567,885,559,1041,1372,1556,1539,1492,1413,1369
Other Liabilities,6,43,56,18,231,465,581,767,717,845,991,1098
Total Liabilities,328,516,629,837,1231,2569,2965,3324,3143,2846,2706,2702
Fixed Assets,0,2,2,2,25,893,869,1689,1661,1629,1536,1799
CWIP,0,55,160,303,420,542,797,100,132,158,242,0
Investments,320,374,381,361,449,562,523,486,426,206,119,119
Other Assets,7,86,86,171,337,573,776,1048,924,853,810,784
Total Assets,328,516,629,837,1231,2569,2965,3324,3143,2846,2706,2702
