,2011-03-01,2012-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.5,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,11.0,11.0
Reserves,0.84,1.57,4.73,5.78,12.84,15.71,17.34,16.39,17.13,12.43,13.59
Borrowings,9.97,12.62,16.67,14.55,13.67,16.66,20.41,22.91,22.9,22.85,26.48
Other Liabilities,1.45,1.86,6.73,4.0,4.44,4.33,4.15,3.01,3.72,5.28,5.92
Total Liabilities,12.76,21.05,33.13,29.33,36.45,42.2,47.4,47.81,49.25,51.56,56.99
Fixed Assets,6.63,10.8,14.78,14.27,13.47,16.63,16.78,15.62,15.49,14.93,15.26
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,2.95,2.48
Investments,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.67,0.92,0.01,0.01
Other Assets,6.13,10.25,18.29,15.0,22.92,25.51,30.51,31.29,32.84,33.67,39.24
Total Assets,12.76,21.05,33.13,29.33,36.45,42.2,47.4,47.81,49.25,51.56,56.99
