,2011-03-01,2012-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,10.19,16.11,29.44,28.94,33.82,35.22,36.14,27.8,31.34,33.9
Expenses,8.29,12.89,24.56,24.32,27.29,28.24,30.73,25.49,26.23,29.02
Operating Profit,1.9,3.22,4.88,4.62,6.53,6.98,5.41,2.31,5.11,4.88
OPM %,18.65,19.99,16.58,15.96,19.31,19.82,14.97,8.31,16.31,14.4
Other Income,0.0,0.0,0.15,0.15,0.13,0.27,0.34,0.6,0.28,0.71
Interest,0.74,1.68,2.07,1.75,1.66,1.55,1.89,1.87,2.18,2.12
Depreciation,0.2,0.47,1.4,1.43,1.46,1.65,1.87,2.35,2.09,2.19
Profit before tax,0.96,1.07,1.56,1.59,3.54,4.05,1.99,-1.31,1.12,1.28
Tax %,27.08,32.71,39.74,33.96,22.03,29.14,18.59,24.43,33.93,32.03
Net Profit,0.69,0.72,0.94,1.05,2.76,2.87,1.62,-0.99,0.73,0.87
EPS in Rs,6.9,0.72,0.94,1.05,2.51,2.61,1.47,-0.9,0.66,0.79
