,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,8.85,9.24,7.36,8.76,10.62
Expenses,7.64,7.44,6.9,7.3,8.88
Operating Profit,1.21,1.8,0.46,1.46,1.74
OPM %,13.67,19.48,6.25,16.67,16.38
Other Income,0.06,0.18,0.19,0.18,0.19
Interest,0.3,0.7,0.47,0.54,0.56
Depreciation,0.53,0.56,0.55,0.57,0.58
Profit before tax,0.44,0.72,-0.37,0.53,0.79
Tax %,-22.73,50.0,2.7,-16.98,27.85
Net Profit,0.54,0.36,-0.36,0.62,0.58
EPS in Rs,0.49,0.33,-0.33,0.56,0.53
