,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,28,28.0
Reserves,336,449,527.0
Preference Capital,0,0,
Borrowings,28,81,471.0
Other Liabilities,461,681,453.0
Total Liabilities,826,1239,1479.0
Fixed Assets,304,368,495.0
CWIP,17,71,45.0
Investments,1,1,0.0
Other Assets,504,799,938.0
Total Assets,826,1239,1479.0
