,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,0.01,0.01,1.0,1.37,1.37,1.37,1.37,10.98
Reserves,1.43,1.7000000000000002,1.73,2.0,3.01,3.6,7.08,8.56,10.13,10.81,0.34
Borrowings,0.5700000000000001,3.6,2.87,2.2,1.57,1.98,1.21,0.97,6.35,8.58,8.07
Other Liabilities,1.09,1.78,0.84,0.92,1.95,1.19,1.19,0.54,1.69,1.84,2.23
Total Liabilities,3.1,7.09,5.45,5.13,6.54,7.77,10.85,11.44,19.54,22.6,21.62
Fixed Assets,0.76,0.59,0.49,0.8300000000000001,0.74,1.08,1.05,0.8300000000000001,2.09,1.8,1.56
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,1.84,6.0,4.96,4.3,5.8,6.69,9.8,10.61,17.45,20.8,20.06
Total Assets,3.1,7.09,5.45,5.13,6.54,7.77,10.85,11.44,19.54,22.6,21.62
