,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.01,3.44,6.23,6.06,12.76,5.53,9.1,9.88,14.0,11.49,11.19
Expenses,2.38,2.93,5.52,5.13,10.91,3.53,6.21,7.26,11.14,9.82,9.81
Operating Profit,0.63,0.51,0.71,0.93,1.85,2.0,2.89,2.62,2.86,1.67,1.38
OPM %,20.93,14.83,11.4,15.35,14.5,36.17,31.76,26.52,20.43,14.53,12.33
Other Income,0.01,0.2,0.05,0.05,0.05,0.11,0.15,0.11,0.17,0.39,0.34
Interest,0.04,0.13,0.43,0.42,0.23,0.22,0.25,0.05,0.18,0.57,0.64
Depreciation,0.07,0.19,0.16,0.14,0.22,0.12,0.28,0.27,0.27,0.38,0.48
Profit before tax,0.53,0.39,0.17,0.42,1.45,1.77,2.51,2.41,2.58,1.11,0.60
Tax %,32.08,33.33,82.35,33.33,31.72,29.94,30.68,27.39,28.68,26.13,
Net Profit,0.37,0.27,0.03,0.27,0.99,1.24,1.74,1.75,1.85,0.82,0.59
EPS in Rs,37.0,27.0,3.0,27.0,99.0,1.55,1.58,1.59,1.68,0.75,0.54
