,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,5.3,5.15,4.73,6.58,7.42,5.2,6.29,4.9
Expenses,3.34,3.73,3.52,4.72,6.42,5.26,4.57,5.24
Operating Profit,1.96,1.42,1.21,1.86,1.0,-0.06,1.72,-0.34
OPM %,36.98,27.57,25.58,28.27,13.48,-1.15,27.34,-6.94
Other Income,0.11,0.06,0.05,0.07,0.1,0.14,0.25,0.09
Interest,0.09,0.05,0.0,0.03,0.15,0.24,0.32,0.32
Depreciation,0.15,0.13,0.14,0.08,0.19,0.19,0.18,0.3
Profit before tax,1.83,1.3,1.12,1.82,0.76,-0.35,1.47,-0.87
Tax %,34.43,25.38,29.46,29.67,26.32,11.43,0.0,0.0
Net Profit,1.21,0.97,0.78,1.28,0.57,-0.31,1.46,-0.87
EPS in Rs,1.1,0.88,0.71,1.16,0.52,-0.28,1.33,-0.79
