,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,42.0,38.0,36.0,26.0,61.0,67.0,59.0,67.0,66.0,62.0
Expenses,39.0,35.0,33.0,24.0,57.0,64.0,55.0,64.0,61.0,58.0
Operating Profit,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0
OPM %,8.0,7.0,8.0,9.0,7.0,5.0,7.0,5.0,7.0,8.0
Other Income,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
Interest,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0
Depreciation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Profit before tax,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0
Tax %,22.0,43.0,21.0,24.0,38.0,32.0,26.0,26.0,41.0,63.0
Net Profit,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
EPS in Rs,1.99,1.14,1.59,0.71,2.64,1.46,1.97,1.35,1.73,0.16
